black_jacket,黒ジャケット
neckerchief,スカーフ
head_tilt,斜め顔
crop_top,クロップドトップス
white_legwear,白靴下
see-through,透け
orange_eyes,オレンジ目
gradient,グラデーション
hand_on_hip,腰に手
azur_lane,アズールレーン
gun,銃
shiny_skin,光ってる肌
animal_ear_fluff,獣耳の毛
wrist_cuffs,手首の袖
pillow,枕
book,本
sleeves_past_wrists,袖余り
plaid,チェック柄
looking_to_the_side,よそ見
torn_clothes,服ビリ
maid,メイド
legs,脚
grey_eyes,灰目
parted_bangs,センター分け
kneehighs,ニーハイ
sash,帯
military,軍隊
maid_headdress,メイドの髪飾り
black_pantyhose,黒パンスト
cosplay,コスプレ
petals,花びら
black_panties,黒パン
hands_up,両手を上げる
fur_trim,毛皮
pubic_hair,陰毛
gradient_background,グラデーションの背景
fox_ears,狐耳
one-piece_swimsuit,一部位の水着
loli,ロリ
ascot,アスコットタイ
black_shirt,黒シャツ
no_humans,人無し
sparkle,光エフェクト
window,窓
no_bra,ノーブラ
saliva,唾液
uncensored,無修正
bed,ベッド
blood,血
completely_nude,全裸
hoodie,パーカー
4koma,四コマ漫画
pussy_juice,愛液
mask,マスク
no_panties,ノーパン
multiple_views,マルチアングル
witch_hat,魔女の帽子
anus,肛門
fruit,フルーツ
night,夜
cum_in_pussy,中出し
bottomless,ボトムレス
red_skirt,赤スカート
6+girls,六人以上の女の子
ocean,海
animal,動物
embarrassed,照れ顔
on_bed,ベッドで
drill_hair,縦ロール
topless,トップレス
skirt_lift,スカートのたくしあげ
magical_girl,魔法少女
bound,緊縛
playboy_bunny,バニーガール
erection,勃起
school_swimsuit,スクール水着
cum_on_body,ぶっかけ
3boys,三人の男の子
straddling,騎乗位
elf,エルフ
fox_girl,狐娘
between_breasts,谷間
blue_archive,ブルーアーカイブ
dog_ears,犬耳
ejaculation,射精
gift,プレゼント
after_sex,事後
condom,コンドーム
rape,レイプ
spread_pussy,マンコを開く
cum_in_mouth,口内射精
dog_tail,いぬしっぽ
dog_girl,犬娘
heart_censor,ハートで修正済み
magic,魔法
orgasm,オーガズム
sound_effects,オノマトペ
torso_grab,胴体掴み
lotion,ローション
instant_loss,即堕ち
spasm,痙攣
